ID_Presupuesto,Fecha,Tipologia,Linea,Revestimiento,Sistema_Construccion,Superficie_m2,Distancia_km,Costo_Final
299,2025-03-15,Americana,Econmica,Ladrillo,Wood Frame,40.0,130.0,54003.11
139,22/12/2025,Cabaña,Econmica,Plástico,Steel Frame,46.0,97.0,153925.42
334,2025-04-21,CABAÑA,Stndar,Ladrillo,Wood Frame,126.0,18.0,95168.02
323,2025-08-15,PREMIUM,Stndar,Ladrillo,Tradicional,145.0,22.0,51338.8
112,2025-01-25,Cabaña,Stndar,Plástico,Steel Frame,78.0,5.0,47677.6
336,2025-03-26,Premium,Econmica,Madera,Wood Frame,43.0,6.0,67476.65
212,2025-02-22,cabaña,Stndar,,Wood Frame,68.0,126.0,154703.16
202,2025-04-11,Premium,Stndar,Piedra,Steel Frame,116.0,81.0,75541.72
229,2025-01-17,AMERICANA,Econmica,Ladrillo,Wood Frame,50.0,118.0,102494.64
96,22/12/2025,MINIMALISTA,Stndar,Ladrillo,Steel Frame,nan,26.0,101700.32
392,2025-04-17,cabaña,Econmica,Piedra,Steel Frame,93.0,124.0,72066.95
348,2025-04-21,Premium,Preium,Plástico,Tradicional,93.0,134.0,103494.94
106,2025-01-14,Minimalista,Stndar,Plástico,Tradicional,128.0,191.0,147253.82
383,2025-07-17,premium,Preium,Plástico,Tradicional,67.0,68.0,40209.11
6,2025-09-22,Premium,Stndar,Plástico,Tradicional,nan,11.0,50263.74
93,2025-07-23,Minimalista,Econmica,Madera,Wood Frame,95.0,134.0,82524.45
4,2025-07-14,cabaña,Stndar,Madera,Tradicional,121.0,170.0,152075.71
108,2025-06-11,premium,Econmica,Plástico,Tradicional,132.0,10.0,150879.32
394,22/12/2025,premium,,Piedra,Steel Frame,75.0,60.0,131831.69
151,2025-06-28,Cabaña,Stndar,Piedra,Wood Frame,51.0,21.0,132565.69
173,22/12/2025,Cabaña,Stndar,Ladrillo,Wood Frame,52.0,36.0,158473.19
359,2025-08-11,americana,Econmica,Ladrillo,Tradicional,71.0,188.0,
98,2025-06-19,PREMIUM,Econmica,Piedra,Steel Frame,73.0,199.0,130610.41
60,2025-06-12,americana,Econmica,Plástico,Tradicional,93.0,124.0,127306.15
221,2025-05-21,Cabaña,,Plástico,Steel Frame,80.0,127.0,118113.97
197,2025-09-20,MINIMALISTA,Stndar,Piedra,Steel Frame,nan mt2,101.0,64214.01
275,22/12/2025,Americana,Econmica,Plástico,Wood Frame,96.0,100.0,150344.65
230,2025-03-19,americana,Econmica,Ladrillo,Steel Frame,90.0,12.0,140254.16
286,2025-08-13,Cabaña,Preium,Ladrillo,Wood Frame,nan,101.0,
313,2025-08-24,Premium,Econmica,Piedra,Tradicional,84.0,166.0,
125,2025-06-11,AMERICANA,Stndar,Plástico,Tradicional,122.0,19.0,57643.67
103,2025-02-12,MINIMALISTA,Stndar,Ladrillo,Steel Frame,142.0,25.0,
71,2025-08-12,Minimalista,Preium,Plástico,Wood Frame,90.0,143.0,103061.14
264,2025-06-20,Americana,Econmica,Piedra,Steel Frame,71.0,140.0,73084.89
45,2025-04-15,Premium,Preium,Piedra,Wood Frame,88.0,83.0,121190.84
201,2025-03-28,Cabaña,Stndar,Madera,Wood Frame,47.0,165.0,101619.72
159,22/12/2025,Americana,Econmica,Madera,Steel Frame,41.0,121.0,108326.06
171,22/12/2025,Premium,,Ladrillo,Steel Frame,73.0,99.0,109309.54
271,2025-08-23,Minimalista,Stndar,Piedra,Steel Frame,97.0,86.0,115121.51
280,2025-02-27,Minimalista,Preium,Ladrillo,Wood Frame,86.0,160.0,97820.76
136,2025-02-14,americana,Preium,Plástico,Steel Frame,59.0,178.0,103778.32
246,2025-05-10,MINIMALISTA,Preium,Madera,Tradicional,148.0,131.0,73190.54
259,2025-04-18,Premium,Econmica,Madera,Wood Frame,83.0,126.0,82577.91
287,2025-05-24,AMERICANA,Econmica,Ladrillo,Tradicional,88.0,139.0,155389.39
194,2025-01-23,CABAÑA,Econmica,Piedra,Steel Frame,73.0,165.0,99882.47
237,2025-02-10,MINIMALISTA,Econmica,Piedra,Wood Frame,118.0,115.0,132753.51
352,2025-09-28,americana,Econmica,Piedra,Tradicional,72.0,93.0,
284,2025-03-21,CABAÑA,Preium,Madera,Steel Frame,54.0,186.0,43521.54
346,2025-07-11,cabaña,Econmica,Plástico,Tradicional,39.0,18.0,95981.76
190,2025-08-14,Minimalista,Stndar,Ladrillo,Steel Frame,124.0,58.0,75421.45
220,22/12/2025,cabaña,Econmica,,Tradicional,73.0,199.0,78446.44
208,2025-01-22,Premium,Econmica,Plástico,Steel Frame,100.0,170.0,126331.31
187,22/12/2025,Minimalista,Stndar,Piedra,Steel Frame,71.0,50.0,
296,2025-03-13,premium,Econmica,Ladrillo,Steel Frame,75.0,41.0,62004.77
324,2025-02-14,Minimalista,Preium,,Tradicional,123.0,44.0,145825.53
398,2025-03-25,MINIMALISTA,Stndar,Madera,Wood Frame,123.0,112.0,47299.46
368,2025-02-12,minimalista,Stndar,,Steel Frame,74.0 mt2,122.0,140108.95
128,2025-06-20,americana,Stndar,Piedra,Tradicional,129.0,64.0,100645.42
314,2025-04-19,CABAÑA,Preium,Ladrillo,Tradicional,116.0,168.0,42786.47
141,2025-05-24,Premium,,Piedra,Tradicional,93.0,176.0,137398.61
164,2025-01-28,premium,Preium,Piedra,Tradicional,148.0,68.0,46964.32
288,22/12/2025,Americana,Preium,Madera,Wood Frame,149.0 mt2,80.0,103691.19
355,2025-08-10,Premium,Preium,Plástico,Steel Frame,82.0 mt2,167.0,127169.63
65,2025-07-22,Cabaña,Preium,Madera,Wood Frame,132.0,33.0,135980.74
50,2025-02-26,Minimalista,Preium,Madera,Wood Frame,70.0,72.0,116404.12
363,2025-01-10,Americana,Econmica,Madera,Tradicional,62.0,51.0,133362.92
327,2025-03-17,Cabaña,Stndar,Piedra,Steel Frame,48.0,103.0,80969.92
145,2025-04-28,PREMIUM,Preium,,Wood Frame,60.0,126.0,111372.62
381,2025-09-12,premium,Stndar,Plástico,Tradicional,111.0,5.0,99027.74
317,2025-08-14,CABAÑA,Preium,,Steel Frame,122.0,174.0,136746.28
360,2025-06-14,Cabaña,Preium,Piedra,Steel Frame,94.0,168.0,133127.07
207,2025-06-11,Premium,Stndar,Plástico,Wood Frame,142.0,198.0,104722.93
122,2025-04-28,Americana,Econmica,Ladrillo,Wood Frame,46.0,28.0,69078.0
163,2025-09-22,Premium,Preium,Plástico,Wood Frame,106.0,143.0,62092.48
100,2025-04-21,Americana,Preium,,Tradicional,37.0,130.0,124765.38
337,2025-06-20,americana,Stndar,Piedra,Wood Frame,101.0,123.0,130036.23
239,2025-08-19,Cabaña,Preium,Madera,Wood Frame,99.0,11.0,39520.05
63,2025-01-19,Americana,Stndar,Madera,Tradicional,133.0,196.0,75879.15
19,2025-08-26,premium,Econmica,Piedra,Wood Frame,110.0,163.0,91842.48
399,2025-06-11,premium,Econmica,Ladrillo,Wood Frame,87.0,193.0,117537.84
375,2025-01-15,AMERICANA,Stndar,Piedra,Tradicional,101.0,109.0,114583.71
44,22/12/2025,Premium,,Madera,Steel Frame,36.0,64.0,151368.59
384,2025-07-18,Americana,Econmica,Plástico,Steel Frame,40.0,122.0,45599.0
391,2025-06-15,cabaña,Preium,Madera,Steel Frame,93.0,53.0,79156.43
13,2025-01-10,Cabaña,Stndar,Madera,Steel Frame,72.0,142.0,158328.77
14,2025-06-25,Cabaña,Stndar,Plástico,Wood Frame,68.0,164.0,155639.84
249,2025-01-23,americana,Preium,Plástico,Steel Frame,96.0,45.0,110074.29
273,2025-02-23,Premium,Econmica,Piedra,Steel Frame,122.0,154.0,51565.58
388,2025-05-10,Cabaña,,Piedra,Wood Frame,74.0,169.0,36513.56
146,2025-08-10,Cabaña,Preium,Piedra,Wood Frame,81.0,135.0,86378.56
242,2025-03-25,cabaña,Preium,Madera,Tradicional,37.0,138.0,80017.05
59,2025-06-23,Cabaña,Econmica,Plástico,Steel Frame,nan,26.0,105877.03
198,2025-03-28,Premium,Stndar,,Wood Frame,127.0,6.0,102501.49
390,2025-07-11,AMERICANA,Econmica,Madera,Wood Frame,131.0,169.0,127188.54
20,2025-06-24,cabaña,Econmica,,Tradicional,121.0,86.0,99449.5
5,2025-08-20,Cabaña,,Piedra,Steel Frame,71.0,192.0,39917.94
303,22/12/2025,CABAÑA,Econmica,Piedra,Steel Frame,81.0,54.0,
26,22/12/2025,Minimalista,Econmica,Ladrillo,Wood Frame,65.0,198.0,-500.0
253,2025-09-21,Premium,Stndar,Piedra,Steel Frame,99.0,16.0,159019.75
